sid,name,licence,access,date,creator,curators,substances,reference_pmid,reference_title,reference_date
PKDB00861,Rebello2011,closed,public,2024-07-19,ykulanoglu,"['ykulanoglu', 'mkoenig']","['aliskiren', 'verapamil']",20413453,Effect of verapamil on the pharmacokinetics of aliskiren in healthy participants.,2011-04-21
PKDB00863,Rebello2012,closed,public,2024-07-19,ykulanoglu,"['ykulanoglu', 'mkoenig']","['grapefruit juice', 'aliskiren']",22124880,Intestinal OATP1A2 inhibition as a potential mechanism for the effect of grapefruit juice on aliskiren pharmacokinetics in healthy subjects.,2012-08-21
PKDB00937,Tapaninen2010a,closed,public,2024-11-18,ykulanoglu,"['ykulanoglu', 'mkoenig']","['aliskiren', 'renin']",20496145,Effect of ABCB1 haplotypes on the pharmacokinetics and renin-inhibiting effect of aliskiren.,2010-11-12
PKDB00864,Tapaninen2010b,closed,public,2024-07-19,ykulanoglu,"['ykulanoglu', 'mkoenig']","['aliskiren', 'renin', 'rifampicin']",20179914,Rifampicin reduces the plasma concentrations and the renin-inhibiting effect of aliskiren.,2010-07-01
PKDB00865,Tapaninen2011,closed,public,2024-07-19,ykulanoglu,"['ykulanoglu', 'mkoenig']","['aliskiren', 'renin', 'itraconazole']",20400651,"Itraconazole, a P-glycoprotein and CYP3A4 inhibitor, markedly raises the plasma concentrations and enhances the renin-inhibiting effect of aliskiren.",2011-06-16
PKDB00866,Tapaninen2011a,closed,public,2024-07-19,ykulanoglu,"['ykulanoglu', 'mkoenig']","['apple juice', 'orange juice', 'aliskiren', 'renin']",21204914,Orange and apple juice greatly reduce the plasma concentrations of the OATP2B1 substrate aliskiren.,2011-06-28
PKDB00867,Vaidyanathan2006a,closed,public,2024-07-19,ykulanoglu,"['ykulanoglu', 'mkoenig']","['aliskiren', 'renin']",17118124,"Aliskiren, a novel orally effective renin inhibitor, exhibits similar pharmacokinetics and pharmacodynamics in Japanese and Caucasian subjects.",2007-05-29
PKDB00936,Vaidyanathan2008b,closed,public,2024-11-18,ykulanoglu,"['ykulanoglu', 'mkoenig']","['aliskiren', 'isosorbide-5-mononitrate (ISMN)', 'furosemide']",19035874,Pharmacokinetic interaction of the direct renin inhibitor aliskiren with furosemide and extended-release isosorbide-5-mononitrate in healthy subjects.,2009-02-03
PKDB00871,Vaidyanathan2008c,closed,public,2024-07-19,ykulanoglu,"['ykulanoglu', 'mkoenig']","['metformin', 'aliskiren', 'fenofibrate', 'pioglitazone']",18786303,"A study of the pharmacokinetic interactions of the direct renin inhibitor aliskiren with metformin, pioglitazone and fenofibrate in healthy subjects.",2008-12-29
881642,Wilkinson1977,closed,public,2025-10-07,jonaspk98,"['jonaspk98', 'mkoenig']",['ethanol'],881642,Pharmacokinetics of ethanol after oral administration in the fasting state.,1977-09-17
Baekdal2019,Baekdal2019,closed,public,2025-10-07,icalledmyselfmoon,"['icalledmyselfmoon', 'mkoenig']","['lisinopril', 'warfarin', 'digoxin']",30945118,"Effect of Oral Semaglutide on the Pharmacokinetics of Lisinopril, Warfarin, Digoxin, and Metformin in Healthy Subjects.",2020-09-02
Beermann1988,Beermann1988,closed,public,2025-10-07,MadNietzsche,"['xresearch', 'MadNietzsche', 'mkoenig']",['lisinopril'],2844083,Pharmacokinetics of lisinopril.,1988-10-27
Gautam1987,Gautam1987,closed,public,2025-10-07,amdangelica,"['xresearch', 'amdangelica', 'mkoenig']","['creatinine', 'sodium', 'lisinopril']",2892917,Pharmacokinetics of lisinopril (MK521) in healthy young and elderly subjects and in elderly patients with cardiac failure.,1988-02-26
PKDB00853,Koytchev2004,closed,public,2024-07-08,Rain-marine,"['xresearch', 'Rain-marine', 'mkoenig']","['hydrochlorothiazide', 'lisinopril']",15497668,Effect of the combination of lisinopril and hydrochlorothiazide on the bioequivalence of tablet formulations.,2004-11-19
Lees1988,Lees1988,closed,public,2025-10-07,jonathanspeh,"['xresearch', 'mkoenig', 'jonathanspeh']","['placebo', 'lisinopril', 'aldosterone', 'renin', 'nifedipine']",2833920,Lisinopril and nifedipine: no acute interaction in normotensives.,1988-06-08
Millar1982,Millar1982,closed,public,2025-10-07,amdangelica,"['xresearch', 'amdangelica', 'mkoenig']","['placebo', 'water', 'sodium', 'potassium', 'enalapril', 'lisinopril', 'angiotensinogen', 'norepinephrine']",6289857,"Pharmacodynamics of converting enzyme inhibition: the cardiovascular, endocrine and autonomic effects of MK421 (enalapril) and MK521.",1982-12-16
Misaka2021,Misaka2021,closed,public,2025-10-07,dzinty,"['xresearch', 'mkoenig', 'dzinty']","['green tea', 'lisinopril']",33048477,Impact of Green Tea Catechin Ingestion on the Pharmacokinetics of Lisinopril in Healthy Volunteers.,2021-12-08
Mojaverian1986,Mojaverian1986,closed,public,2025-10-07,Rain-marine,"['xresearch', 'Rain-marine', 'mkoenig']",['lisinopril'],3014110,"Effect of food on the bioavailability of lisinopril, a nonsulfhydryl angiotensin-converting enzyme inhibitor.",1986-08-05
Qin2007,Qin2007,closed,public,2025-10-07,mkoenig,"['xresearch', 'mkoenig']",['lisinopril'],17221934,Rapid quantification of lisinopril in human plasma by liquid chromatography/tandem mass spectrometry.,2007-06-21
Qin2012,Qin2012,closed,public,2025-10-07,mkoenig,"['xresearch', 'mkoenig']",['lisinopril'],21932385,Quantitative determination of lisinopril in human plasma by high performance liquid chromatography-tandem mass spectrometry and its application in a pharmacokinetic study.,2012-09-19
PKDB00981,Shin2008,closed,public,2025-05-13,icalledmyselfmoon,"['icalledmyselfmoon', 'mkoenig']",['lisinopril'],18368945,Bioequivalence evaluation of two brands of lisinopril tablets by in vitro comparative dissolution test and in vivo bioequivalence test.,2008-05-07
1706800,Shionoiri1990,closed,public,2025-10-07,lisapolzer,"['xresearch', 'mkoenig', 'lisapolzer']","['placebo', 'creatinine', 'lisinopril']",1706800,Pharmacokinetics and antihypertensive effects of lisinopril in hypertensive patients with normal and impaired renal function.,1991-04-26
PKDB00982,Tamimi2005,closed,public,2025-05-13,icalledmyselfmoon,"['icalledmyselfmoon', 'mkoenig']",['lisinopril'],16075412,Bioequivalence evaluation of two brands of lisinopril tablets (Lisotec and Zestril) in healthy human volunteers.,2005-12-05
PKDB00804,Ulm1982,closed,public,2024-04-24,linafrolova,"['xresearch', 'linafrolova', 'mkoenig']","['enalapril maleate', 'enalapril', 'enalaprilat', 'lisinopril']",6289858,Enalapril maleate and a lysine analogue (MK-521): disposition in man.,1982-12-16
PKDB00978,Zhou2008,closed,public,2025-05-13,icalledmyselfmoon,"['icalledmyselfmoon', 'mkoenig']","['enalaprilat', 'lisinopril']",19007490,Development and validation of LC-MS method for the determination of lisinopril in human plasma and its application in a bioequivalence study.,2008-12-22
Baekdal2018,Baekdal2018,closed,public,2025-10-07,hannah3menghis,"['hannah3menghis', 'mkoenig']","['semaglutide', 'Salcaprozate Sodium (SNAC)']",29693715,"Pharmacokinetics, Safety, and Tolerability of Oral Semaglutide in Subjects With Hepatic Impairment.",2019-10-09
Baekdal2018a,Baekdal2018a,closed,public,2025-10-07,hannah3menghis,"['hannah3menghis', 'mkoenig']","['omeprazole', 'semaglutide', 'Salcaprozate Sodium (SNAC)']",29897249,A randomized study investigating the effect of omeprazole on the pharmacokinetics of oral semaglutide.,2018-08-24
PKDB00001,Abernethy1985,closed,public,2019-05-03,mkoenig,"['mkoenig', 'janekg']",['caffeine (137X)'],4029248,Impairment of caffeine clearance by chronic use of low-dose oestrogen-containing oral contraceptives.,1985-10-09
PKDB00427,Abernethy1985a,open,public,2021-07-08,janekg,"['janekg', 'mkoenig']",['caffeine (137X)'],4027137,Caffeine disposition in obesity.,1985-10-24
PKDB00003,Amchin1999,closed,public,2019-05-03,mkoenig,"['mkoenig', 'janekg']","['caffeine (137X)', 'paraxanthine (17X)', '1,7-dimethyluric acid (17U)', 'theobromine (37X)', '1-methylxanthine (1X)', '1-methyluric acid (1U)', '5-Acetylamino-6-amino-3-methyluracil (AAMU)', 'venlafaxine']",10073324,Effect of venlafaxine on CYP1A2-dependent pharmacokinetics and metabolism of caffeine.,1999-04-30
PKDB00428,Armani2017,closed,public,2021-07-08,FlorBar,"['FlorBar', 'mkoenig']","['caffeine (137X)', 'midazolam', 'omeprazole', 'dextromethorphan', 'osilodostrat']",28155129,Drug Interaction Potential of Osilodrostat (LCI699) Based on Its Effect on the Pharmacokinetics of Probe Drugs of Cytochrome P450 Enzymes in Healthy Adults.,2017-05-26
PKDB00429,Arnaud1981,closed,public,2021-07-08,adriankl,"['adriankl', 'mkoenig']","['caffeine (137X)', '1,3,7-trimethyluric acid (137U)', 'paraxanthine (17X)', '1,7-dimethyluric acid (17U)', 'theophylline (13X)', '1,3-dimethyluric acid (13U)', 'theobromine (37X)', '3,7-dimethyluric acid (37U)', '1-methylxanthine (1X)', '1-methyluric acid (1U)', '3-methylxanthine (3X)', '3-methyluric acid (3U)', '7-methylxanthine (7X)', '7-methyluric acid (7U)', '5-Acetylamino-6-formylamino-3-methyluracil (AFMU)', '5-Acetylamino-6-amino-3-methyluracil (AAMU)', 'ADMU', '6-Amino-5-(formyl-N-methylamino)-1-methyluracil (A1U)', '6-Amino-5-(formyl-N-methylamino)-1-methyluracil (A3U)']",,Theophylline and caffeine metabolism in man,1000-10-10
PKDB00430,Arold2005,closed,public,2021-07-08,adriankl,"['adriankl', 'mkoenig']","['caffeine (137X)', 'paraxanthine (17X)', 'alprazolam', 'tolbutamide', '4-hydroxytolbutamide', 'digoxin', ""St. John's wort extract""]",15856409,"No relevant interaction with alprazolam, caffeine, tolbutamide, and digoxin by treatment with a low-hyperforin St John's wort extract.",2005-06-21
PKDB00431,Axelrod1953,closed,public,2021-07-08,janekg,"['mkoenig', 'janekg']",['caffeine (137X)'],13053413,The fate of caffeine in man and a method for its estimation in biological material.,2003-05-01
PKDB00432,Azcona1995,closed,public,2021-07-08,FlorBar,"['FlorBar', 'mkoenig']","['caffeine (137X)', 'ethanol']",8554942,Evaluation of the central effects of alcohol and caffeine interaction.,1996-02-27
PKDB00004,Backman2008,closed,public,2019-05-03,mkoenig,"['mkoenig', 'janekg']","['caffeine (137X)', 'paraxanthine (17X)']",17955229,Effects of gender and moderate smoking on the pharmacokinetics and effects of the CYP1A2 substrate tizanidine.,2008-05-28
PKDB00005,Balogh1992,closed,public,2019-05-03,mkoenig,"['mkoenig', 'janekg']",['caffeine (137X)'],1304170,Intra-individual variability of caffeine elimination in healthy subjects.,1992-12-29
PKDB00007,Barnett1990,closed,public,2019-05-06,mkoenig,"['mkoenig', 'janekg']","['caffeine (137X)', 'pipemidic acid', 'norfloxacin']",2177401,Pharmacokinetic determination of relative potency of quinolone inhibition of caffeine disposition.,1991-03-05
PKDB00434,Bchir2006,closed,public,2021-07-08,adriankl,"['adriankl', 'mkoenig']",['caffeine (137X)'],16797457,Differences in pharmacokinetic and electroencephalographic responses to caffeine in sleep-sensitive and non-sensitive subjects.,2006-09-12
PKDB00435,Becker1984,closed,public,2021-07-08,adriankl,"['adriankl', 'mkoenig']","['caffeine (137X)', 'theophylline (13X)']",6700656,The bronchodilator effects and pharmacokinetics of caffeine in asthma.,1984-04-06
PKDB00009,Begas2007,closed,public,2019-05-06,mkoenig,"['mkoenig', 'dimitra', 'janekg']","['caffeine (137X)', 'paraxanthine (17X)', '1,7-dimethyluric acid (17U)', '1-methylxanthine (1X)', '1-methyluric acid (1U)', '5-Acetylamino-6-formylamino-3-methyluracil (AFMU)']",17221922,"In vivo evaluation of CYP1A2, CYP2A6, NAT-2 and xanthine oxidase activities in a Greek population sample by the RP-HPLC monitoring of caffeine metabolic ratios.",2007-03-26
PKDB00436,Begas2015,closed,public,2021-07-08,FlorBar,"['FlorBar', 'mkoenig']","['caffeine (137X)', 'paraxanthine (17X)', '1,7-dimethyluric acid (17U)', '1-methylxanthine (1X)', '1-methyluric acid (1U)', '5-Acetylamino-6-formylamino-3-methyluracil (AFMU)']",25891161,Development and validation of a reversed-phase HPLC method for CYP1A2 phenotyping by use of a caffeine metabolite ratio in saliva.,2016-06-18
PKDB00011,Benowitz2003,closed,public,2019-05-06,mkoenig,"['mkoenig', 'dimitra', 'janekg']","['caffeine (137X)', '1-methylxanthine (1X)', '1-methyluric acid (1U)', '5-Acetylamino-6-amino-3-methyluracil (AAMU)', 'chlorzoxazone', '6-hydroxychlorzoxazone', 'carbon monoxide (CO)']",14586387,Effects of cigarette smoking and carbon monoxide on chlorzoxazone and caffeine metabolism.,2003-11-21
PKDB00012,Birkett1991,open,public,2019-05-06,mkoenig,"['mkoenig', 'dimitra']",['caffeine (137X)'],2049248,Caffeine renal clearance and urine caffeine concentrations during steady state dosing. Implications for monitoring caffeine intake during sports events.,1991-07-23
PKDB00210,Blanchard1983,closed,public,2019-10-09,mkoenig,"['mkoenig', 'dimitra']",['caffeine (137X)'],6863577,Relationship between urine flow rate and renal clearance of caffeine in man.,1983-08-11
PKDB00378,Blanchard1985,closed,public,2020-11-26,adriankl,"['adriankl', 'mkoenig']","['caffeine (137X)', '1,3,7-trimethyluric acid (137U)', 'paraxanthine (17X)', '1,7-dimethyluric acid (17U)', 'theophylline (13X)', '1,3-dimethyluric acid (13U)', 'theobromine (37X)', '1-methylxanthine (1X)', '1-methyluric acid (1U)', '3-methylxanthine (3X)', '7-methylxanthine (7X)', '7-methyluric acid (7U)']",3986081,Comparison of the urinary metabolite profile of caffeine in young and elderly males.,1985-06-03
PKDB00437,Bozikas2004,closed,public,2021-07-08,adriankl,"['adriankl', 'mkoenig']","['caffeine (137X)', 'paraxanthine (17X)', '1,7-dimethyluric acid (17U)', '1-methylxanthine (1X)', '1-methyluric acid (1U)', '5-Acetylamino-6-formylamino-3-methyluracil (AFMU)']",14659985,Smoking impact on CYP1A2 activity in a group of patients with schizophrenia.,2004-03-16
PKDB00438,Brazier1980,closed,public,2021-07-08,FlorBar,"['FlorBar', 'mkoenig']","['idrocilamide', 'caffeine (137X)', 'paraxanthine (17X)']",7371698,Inhibition by idrocilamide of the disposition of caffeine.,1980-07-28
PKDB00439,Broughton1981,closed,public,2021-07-08,adriankl,"['adriankl', 'mkoenig']","['caffeine (137X)', 'cimetidine']",7306430,Decreased systemic clearance of caffeine due to cimetidine.,1982-02-12
3365914,Brown1988a,closed,public,2025-10-07,mkoenig,['mkoenig'],[],3365914,Changes in rate and pattern of caffeine metabolism after cigarette abstinence.,1988-06-16
PKDB00440,Bruce1986,closed,public,2021-07-08,janekg,"['mkoenig', 'janekg']","['caffeine (137X)', 'paraxanthine (17X)']",3741730,The psychopharmacological and electrophysiological effects of single doses of caffeine in healthy human subjects.,1986-09-29
PKDB00443,Callahan1983,closed,public,2021-07-08,janekg,"['mkoenig', 'janekg']","['caffeine (137X)', 'paraxanthine (17X)', 'theobromine (37X)', '1-methylxanthine (1X)', '1-methyluric acid (1U)', '5-Acetylamino-6-amino-3-methyluracil (AAMU)']",6135578,Comparison of caffeine metabolism in three nonsmoking populations after oral administration of radiolabeled caffeine.,1983-09-23
PKDB00016,Carbo1989,closed,public,2019-05-07,mkoenig,"['mkoenig', 'janekg']","['caffeine (137X)', 'paraxanthine (17X)', 'theophylline (13X)', 'theobromine (37X)', '1-methylxanthine (1X)', 'pipemidic acid', 'norfloxacin']",2920498,Effect of quinolones on caffeine disposition.,1989-04-14
PKDB00017,Carrillo2000a,closed,public,2019-05-07,mkoenig,"['mkoenig', 'janekg']","['caffeine (137X)', 'paraxanthine (17X)', '1,7-dimethyluric acid (17U)', '1-methylxanthine (1X)', '1-methyluric acid (1U)', '5-Acetylamino-6-formylamino-3-methyluracil (AFMU)']",10942180,"Evaluation of caffeine as an in vivo probe for CYP1A2 using measurements in plasma, saliva, and urine.",2000-11-30
PKDB00445,Chen2009,closed,public,2021-07-08,FlorBar,"['FlorBar', 'mkoenig']","['caffeine (137X)', 'paraxanthine (17X)', 'Sodium tanshinone II A sulfonate']",19534587,Effect of sodium tanshinone II A sulfonate on the activity of CYP1A2 in healthy volunteers.,2009-10-01
PKDB00446,Chen2009b,closed,public,2021-07-08,FlorBar,"['FlorBar', 'mkoenig']","['caffeine (137X)', 'paraxanthine (17X)', '1,7-dimethyluric acid (17U)', '1-methylxanthine (1X)', '1-methyluric acid (1U)', '5-Acetylamino-6-formylamino-3-methyluracil (AFMU)', 'quercetin']",19215233,"Simultaneous action of the flavonoid quercetin on cytochrome P450 (CYP) 1A2, CYP2A6, N-acetyltransferase and xanthine oxidase activity in healthy volunteers.",2010-02-05
PKDB00447,Chen2010,closed,public,2021-07-08,FlorBar,"['FlorBar', 'mkoenig']","['caffeine (137X)', 'paraxanthine (17X)', '1,7-dimethyluric acid (17U)', '1-methylxanthine (1X)', '1-methyluric acid (1U)', '5-Acetylamino-6-formylamino-3-methyluracil (AFMU)', 'curcumin']",20484172,"Plant polyphenol curcumin significantly affects CYP1A2 and CYP2A6 activity in healthy, male Chinese volunteers.",2011-01-21
PKDB00448,Chia2016,closed,public,2021-07-08,FlorBar,"['FlorBar', 'mkoenig']","['caffeine (137X)', 'paraxanthine (17X)']",26862045,Establishing population distribution of drug-metabolizing enzyme activities for the use of salivary caffeine as a dynamic liver function marker in a Singaporean Chinese population.,2017-01-27
PKDB00449,Christensen2002,closed,public,2021-07-08,adriankl,"['adriankl', 'mkoenig']","['caffeine (137X)', 'fluvoxamine']",11907488,Low daily 10-mg and 20-mg doses of fluvoxamine inhibit the metabolism of both caffeine (cytochrome P4501A2) and omeprazole (cytochrome P4502C19).,2002-04-23
PKDB00450,Cook1976,open,public,2021-07-08,janekg,"['janekg', 'mkoenig']",['caffeine (137X)'],1033273,Caffeine in plasma and saliva by a radioimmunoassay procedure.,1977-01-29
PKDB00128,Cornish1957,open,public,2019-05-24,mkoenig,['mkoenig'],"['caffeine (137X)', 'paraxanthine (17X)', 'theophylline (13X)', '1,3-dimethyluric acid (13U)', 'theobromine (37X)', '1-methylxanthine (1X)', '1-methyluric acid (1U)', '3-methylxanthine (3X)', '7-methylxanthine (7X)', '7-methyluric acid (7U)']",13475320,"A study of the metabolism of theobromine, theophylline, and caffeine in man.",2000-07-01
PKDB00019,CulmMerdek2005,open,public,2019-05-07,mkoenig,"['mkoenig', 'dimitra', 'janekg']","['caffeine (137X)', 'paraxanthine (17X)', 'theophylline (13X)', 'theobromine (37X)', 'fluvoxamine']",16236038,Fluvoxamine impairs single-dose caffeine clearance without altering caffeine pharmacodynamics.,2006-05-03
PKDB00451,Cysneiros2007,closed,public,2021-07-08,adriankl,"['adriankl', 'mkoenig']","['caffeine (137X)', 'paraxanthine (17X)', 'theophylline (13X)', 'theobromine (37X)', 'zolpidem']",17443132,Pharmacokinetic and pharmacodynamic interactions between zolpidem and caffeine.,2007-08-16
PKDB00328,Darwish2008,closed,public,2020-07-20,yduport,"['yduport', 'mkoenig']","['caffeine (137X)', 'armodafinil', 'modafinil sulfone', 'midazolam', '1-hydroxymidazolam', 'omeprazole', '5-hydroxyomeprazole']",18076219,"Interaction profile of armodafinil with medications metabolized by cytochrome P450 enzymes 1A2, 3A4 and 2C19 in healthy subjects.",2008-03-18
PKDB00452,Dinger2016,closed,public,2021-07-08,FlorBar,"['FlorBar', 'mkoenig']","['caffeine (137X)', 'fluvoxamine', '5-MeO-DALT']",26599973,Cytochrome P450 inhibition potential of new psychoactive substances of the tryptamine class.,2016-04-20
PKDB00453,Djordjevic2008,closed,public,2021-07-08,janekg,"['janekg', 'mkoenig']","['caffeine (137X)', 'paraxanthine (17X)']",18157525,Induction of CYP1A2 by heavy coffee consumption in Serbs and Swedes.,2008-08-25
PKDB00032,Faber2004,closed,public,2019-05-07,mkoenig,['mkoenig'],['caffeine (137X)'],15289794,Time response of cytochrome P450 1A2 activity on cessation of heavy smoking.,2004-08-24
PKDB00033,Fuhr1993a,open,public,2019-05-07,mkoenig,"['mkoenig', 'janekg']","['grapefruit juice', 'caffeine (137X)']",8485024,"Inhibitory effect of grapefruit juice and its bitter principal, naringenin, on CYP1A2 dependent metabolism of caffeine in man.",1993-06-10
PKDB00454,Furge2006,closed,public,2021-07-08,FlorBar,"['FlorBar', 'mkoenig']","['caffeine (137X)', 'paraxanthine (17X)']",21591074,HPLC determination of caffeine and paraxanthine in urine: An assay for cytochrome P450 1A2 activity.,2012-10-02
PKDB00034,George1986,closed,public,2019-05-07,mkoenig,['mkoenig'],"['caffeine (137X)', 'antipyrine']",3802578,Influence of alcohol and caffeine consumption on caffeine elimination.,1987-03-04
PKDB00035,Ghassabian2009,closed,public,2019-05-07,mkoenig,"['mkoenig', 'janekg']","['caffeine (137X)', 'paraxanthine (17X)', 'midazolam', 'losartan', 'omeprazole', '5-hydroxyomeprazole', 'dextromethorphan']",19307938,A high-throughput assay using liquid chromatography-tandem mass spectrometry for simultaneous in vivo phenotyping of 5 major cytochrome p450 enzymes in patients.,2009-04-29
PKDB00036,Granfors2005,closed,public,2019-05-07,mkoenig,"['mkoenig', 'janekg']","['caffeine (137X)', 'paraxanthine (17X)']",16198659,Oral contraceptives containing ethinyl estradiol and gestodene markedly increase plasma concentrations and effects of tizanidine by inhibiting cytochrome P450 1A2.,2005-11-02
PKDB00456,Gurley2005a,closed,public,2021-07-08,FlorBar,"['FlorBar', 'mkoenig']","['caffeine (137X)', 'paraxanthine (17X)', 'midazolam', ""St. John's wort extract"", 'panax ginseng', 'garlic oil', 'ginkgo biloba']",15974642,"Clinical assessment of effects of botanical supplementation on cytochrome P450 phenotypes in the elderly: St John's wort, garlic oil, Panax ginseng and Ginkgo biloba.",2006-07-27
PKDB00457,Gurley2005b,closed,public,2021-07-08,FlorBar,"['FlorBar', 'mkoenig']","['caffeine (137X)', 'paraxanthine (17X)', 'midazolam', 'goldenseal root extract', 'kava kava root extract', 'black cohosh root extract', 'valerian root extract']",15900287,"In vivo effects of goldenseal, kava kava, black cohosh, and valerian on human cytochrome P450 1A2, 2D6, 2E1, and 3A4/5 phenotypes.",2005-06-01
PKDB00458,HamonVilcot2004,closed,public,2021-07-08,FlorBar,"['FlorBar', 'mkoenig']","['caffeine (137X)', 'paraxanthine (17X)']",15359622,Effects of malnutrition on cytochrome P450 1A2 activity in elderly patients.,2004-10-18
PKDB00038,Harder1988,closed,public,2019-05-07,mkoenig,"['mkoenig', 'janekg']","['caffeine (137X)', 'paraxanthine (17X)', 'ciprofloxacin', 'enoxacin', 'pipemidic acid', 'norfloxacin', 'ofloxacin']",2853056,4-quinolones inhibit biotransformation of caffeine.,1989-05-10
PKDB00459,Hashiguchi1992,closed,public,2021-07-08,FlorBar,"['FlorBar', 'mkoenig']","['caffeine (137X)', '1,7-dimethyluric acid (17U)', '1-methylxanthine (1X)', '1-methyluric acid (1U)', '5-Acetylamino-6-formylamino-3-methyluracil (AFMU)']",1613129,Diurnal effect on caffeine clearance.,1992-07-30
PKDB00460,He2017,closed,public,2021-07-08,adriankl,"['adriankl', 'mkoenig']","['caffeine (137X)', 'paraxanthine (17X)', 'theacrine']",28875060,Assessment of the Drug-Drug Interaction Potential Between Theacrine and Caffeine in Humans.,2017-09-01
PKDB00040,Healy1989,open,public,2019-05-07,mkoenig,"['mkoenig', 'janekg']","['caffeine (137X)', 'paraxanthine (17X)', 'ciprofloxacin']",2729942,Interaction between oral ciprofloxacin and caffeine in normal volunteers.,1989-07-07
PKDB00461,Holstege1989,closed,public,2021-07-08,adriankl,"['adriankl', 'mkoenig']","['albumin', 'bilirubin', 'galactose', 'caffeine (137X)', 'paraxanthine (17X)', 'theophylline (13X)', 'theobromine (37X)']",2921843,Correlation of caffeine elimination and Child's classification in liver cirrhosis.,1989-04-18
PKDB00598,Lenuzza2016,closed,public,2022-08-19,jbrandhorst,"['jbrandhorst', 'mkoenig']","['paracetamol', 'paracetamol glucuronide', 'caffeine (137X)', 'paraxanthine (17X)', 'midazolam', '1-hydroxymidazolam', 'tolbutamide', '4-hydroxytolbutamide', 'digoxin', 'omeprazole', '5-hydroxyomeprazole', 'omeprazole sulfone', 'dextromethorphan', 'dextrorphan', 'rosuvastatin', 'repaglinide', 'hydroxy repaglinide', 'memantine']",25465228,Safety and pharmacokinetics of the CIME combination of drugs and their metabolites after a single oral dosing in healthy volunteers.,2016-12-14
19395173,Loetsch2009,closed,public,2025-10-06,jbrandhorst,['jbrandhorst'],"['morphine-6-glucuronide', 'normorphine', 'codeine', 'morphine', 'morphine-3-glucuronide', 'dextromethorphan hydrobromide', 'dextromethorphan', 'dextrorphan', 'dextrorphan O-glucuronide']",19395173,Can extremely low or high morphine formation from codeine be predicted prior to therapy initiation?,2009-08-18
PKDB00588,Lopez2005,closed,public,2022-08-09,janekg,"['janekg', 'mkoenig']","['dextromethorphan hydrobromide', 'dextromethorphan', 'dextrorphan', 'dextrorphan O-glucuronide']",16249913,CYP2D6 genotype and phenotype determination in a Mexican Mestizo population.,2006-08-08
PKDB00589,Montane2013,closed,public,2022-08-09,janekg,"['janekg', 'mkoenig']","['dextromethorphan hydrobromide', 'dextromethorphan', 'dextrorphan', 'dextrorphan O-glucuronide']",23394389,Characterization of the CYP2D6 gene locus and metabolic activity in Indo- and Afro-Trinidadians: discovery of novel allelic variants.,2013-08-02
PKDB00590,Nagai1996,closed,public,2022-08-09,jbrandhorst,"['jbrandhorst', 'janekg', 'mkoenig']","['dextromethorphan hydrobromide', 'dextromethorphan', 'dextrorphan', 'dextrorphan O-glucuronide', '3-hydroxymorphinan', '3-hydroxymorphinan O-glucuronide']",8830977,Pharmacokinetics and polymorphic oxidation of dextromethorphan in a Japanese population.,1996-12-10
PKDB00599,Nakashima2007,closed,public,2022-08-19,jbrandhorst,"['jbrandhorst', 'mkoenig']","['dextromethorphan hydrobromide', 'dextromethorphan', 'dextrorphan', 'cinacalcet hydrochloride', 'cinacalcet']",17652181,"Effect of cinacalcet hydrochloride, a new calcimimetic agent, on the pharmacokinetics of dextromethorphan: in vitro and clinical studies.",2007-12-07
PKDB00591,Nyunt2008,closed,public,2022-08-09,jbrandhorst,"['jbrandhorst', 'mkoenig']","['paracetamol', 'midazolam', 'dextromethorphan']",18362694,"Pharmacokinetic effect of AMD070, an Oral CXCR4 antagonist, on CYP3A4 and CYP2D6 substrates midazolam and dextromethorphan in healthy volunteers.",2008-06-23
10952478,ONeil2000,closed,public,2025-10-06,jbrandhorst,['jbrandhorst'],"['dextromethorphan', 'dextrorphan', 'dextrorphan O-glucuronide']",10952478,Genotype and phenotype of cytochrome P450 2D6 in human immunodeficiency virus-positive patients and patients with acquired immunodeficiency syndrome.,2000-12-07
PKDB00592,Pope2004,closed,public,2022-08-09,jbrandhorst,"['jbrandhorst', 'mkoenig']","['quinidine', 'dextromethorphan hydrobromide', 'dextromethorphan', 'dextrorphan', 'dextrorphan O-glucuronide']",15342614,Pharmacokinetics of dextromethorphan after single or multiple dosing in combination with quinidine in extensive and poor metabolizers.,2005-01-11
PKDB00600,Qiu2016,closed,public,2022-08-19,jbrandhorst,"['jbrandhorst', 'mkoenig']","['dextromethorphan hydrobromide', 'dextromethorphan', 'dextrorphan']",27023460,"Effects of the Chinese herbal formula ""Zuojin Pill"" on the pharmacokinetics of dextromethorphan in healthy Chinese volunteers with CYP2D6*10 genotype.",2017-02-20
PKDB00593,Schadel1995,closed,public,2022-08-09,jbrandhorst,"['jbrandhorst', 'mkoenig']","['quinidine sulphate', 'dextromethorphan hydrobromide', 'dextromethorphan', 'dextrorphan', 'dextrorphan O-glucuronide', '3-hydroxymorphinan', '3-hydroxymorphinan O-glucuronide', '3-methoxymorphinan']",7593709,Pharmacokinetics of dextromethorphan and metabolites in humans: influence of the CYP2D6 phenotype and quinidine inhibition.,1995-12-19
